filename,window_start,window_end,window_duration,window_frames,eye_contact_ratio,face_visibility_ratio,gaze_center_ratio,valid_gaze_frames,gaze_center_frames,looking_away_total_time,head_pitch_offset_mean,head_pitch_offset_std,head_yaw_mean,head_yaw_std,head_roll_mean,head_roll_std,head_movement_mean_delta,head_movement_stability_score,blink_count,blink_rate_per_minute,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,primary_gaze_horizontal_ratio,primary_gaze_vertical_ratio,primary_gaze_zone_ratio,secondary_gaze_zone_ratio,gaze_deviation_from_primary_ratio,gaze_deviation_from_primary_mean,primary_head_pitch,primary_head_yaw,head_deviation_from_primary_ratio,head_deviation_from_primary_mean
sample39.mp4,0.0,3.0,3.0,9,0.6667,1.0,0.0,3,0,1.0,2.869,1.8845,-4.2966,11.8253,-1.1745,0.7342,4.2019,19.22,0,0.0,0.8057,0.065,1.15,0.0943,0.738,0.9673,0.1198,0.1198,0.3333,0.2137,176.3038,-7.9514,1.0,353.6512
sample39.mp4,3.0,6.0,3.0,9,0.8889,1.0,0.0,1,0,0.33,1.8984,0.7697,-1.379,9.1286,-0.9835,1.3167,18.9599,5.01,0,0.0,0.7059,,1.575,,0.738,0.9673,0.1198,0.1198,1.0,0.6085,176.3038,-7.9514,0.5556,124.297
sample39.mp4,6.0,9.0,3.0,9,0.4444,1.0,0.0,5,0,1.67,1.1299,1.139,-1.9952,9.3784,-2.3096,1.1726,63.6033,1.55,1,20.0,0.782,0.0253,1.5083,0.2179,0.738,0.9673,0.1198,0.1198,1.0,0.5447,176.3038,-7.9514,0.7778,202.2456
sample39.mp4,9.0,12.0,3.0,9,0.8889,1.0,0.0,1,0,0.33,2.5634,1.6592,3.502,9.0359,-3.4707,0.9751,49.4254,1.98,0,0.0,0.6765,,1.2833,,0.738,0.9673,0.1198,0.1198,1.0,0.322,176.3038,-7.9514,0.7778,201.6355
sample39.mp4,12.0,15.0,3.0,9,0.6667,1.0,0.0,3,0,1.0,3.5572,2.0604,6.2537,4.7741,-3.4519,2.6548,17.3227,5.46,1,20.0,0.7827,0.0198,1.4806,0.1191,0.738,0.9673,0.1198,0.1198,1.0,0.516,176.3038,-7.9514,0.6667,89.0605
sample39.mp4,15.0,18.0,3.0,9,0.6667,1.0,0.0,3,0,1.0,4.2523,2.2647,11.2352,5.9725,-1.9802,1.7513,3.5063,22.19,0,0.0,0.7958,0.026,1.1667,0.1247,0.738,0.9673,0.1198,0.1198,0.6667,0.2098,176.3038,-7.9514,0.8889,19.3555
sample39.mp4,18.0,21.0,3.0,9,0.6667,1.0,0.0,3,0,1.0,1.5598,1.189,5.5101,5.9942,-2.9344,0.8009,47.1156,2.08,1,20.0,0.7636,0.02,1.5778,0.2436,0.738,0.9673,0.1198,0.1198,1.0,0.6118,176.3038,-7.9514,0.7778,240.1033
sample39.mp4,21.0,24.0,3.0,9,0.7778,1.0,0.0,2,0,0.67,2.0749,0.7553,2.9305,7.2145,-3.6524,1.1838,62.4365,1.58,1,20.0,0.7941,0.0294,1.3458,0.1208,0.738,0.9673,0.1198,0.1198,1.0,0.3858,176.3038,-7.9514,0.4444,85.8128
sample39.mp4,24.0,27.0,3.0,9,0.6667,1.0,0.0,3,0,1.0,2.3058,1.2029,0.1031,7.3215,-2.8609,0.9003,19.2769,4.93,0,0.0,0.7478,0.0031,1.3087,0.061,0.738,0.9673,0.1198,0.1198,1.0,0.3416,176.3038,-7.9514,0.4444,47.3806
sample39.mp4,27.0,30.0,3.0,9,1.0,1.0,0.0,0,0,0.0,2.8247,1.9126,-3.0073,9.6958,-3.8136,1.1971,3.9814,20.07,0,0.0,,,,,0.738,0.9673,0.1198,0.1198,0.0,,176.3038,-7.9514,0.2222,9.3713
