filename,window_start,window_end,window_duration,window_frames,eye_contact_ratio,face_visibility_ratio,gaze_center_ratio,valid_gaze_frames,gaze_center_frames,looking_away_total_time,head_pitch_offset_mean,head_pitch_offset_std,head_yaw_mean,head_yaw_std,head_roll_mean,head_roll_std,head_movement_mean_delta,head_movement_stability_score,blink_count,blink_rate_per_minute,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,primary_gaze_horizontal_ratio,primary_gaze_vertical_ratio,primary_gaze_zone_ratio,secondary_gaze_zone_ratio,gaze_deviation_from_primary_ratio,gaze_deviation_from_primary_mean,primary_head_pitch,primary_head_yaw,head_deviation_from_primary_ratio,head_deviation_from_primary_mean
sample15.mp4,0.0,3.0,3.0,8,0.0,1.0,0.375,8,3,3.0,1.0639,0.6626,14.5749,7.7065,-1.371,1.2259,36.6331,2.66,2,40.0,0.6457,0.0389,0.7079,0.0436,0.5978,0.7118,0.604,0.1881,0.0,0.0666,-177.4452,15.8834,0.375,136.1668
sample15.mp4,3.0,6.0,3.0,7,0.0,1.0,1.0,7,7,2.8,1.7632,0.6721,19.5996,2.1153,-3.4112,0.8899,1.3005,43.47,1,20.0,0.5588,0.0309,0.7161,0.0458,0.5978,0.7118,0.604,0.1881,0.0,0.0588,-177.4452,15.8834,0.0,4.1102
sample15.mp4,6.0,9.0,3.0,8,0.0,1.0,0.625,8,5,3.0,1.9368,1.3214,21.1384,2.7478,-3.2659,1.1184,2.0873,32.39,1,20.0,0.61,0.0545,0.6944,0.0367,0.5978,0.7118,0.604,0.1881,0.0,0.0662,-177.4452,15.8834,0.0,5.4759
sample15.mp4,9.0,12.0,3.0,7,0.1429,1.0,0.7143,7,5,2.4,2.7138,0.5445,13.0972,3.3812,-2.2488,0.8562,1.6397,37.88,2,40.0,0.591,0.0929,0.7546,0.0674,0.5978,0.7118,0.604,0.1881,0.2857,0.1096,-177.4452,15.8834,0.0,3.378
sample15.mp4,12.0,15.0,3.0,8,1.0,1.0,1.0,8,8,0.0,2.3395,1.0745,17.539,3.0443,-1.7798,0.5221,1.4306,41.14,2,40.0,0.5872,0.0293,0.7146,0.0274,0.5978,0.7118,0.604,0.1881,0.0,0.0359,-177.4452,15.8834,0.0,3.4603
sample15.mp4,15.0,18.0,3.0,7,0.8571,1.0,1.0,7,7,0.4,1.744,0.6694,11.4722,3.3327,-0.8443,0.429,1.6215,38.15,2,40.0,0.5909,0.0408,0.7097,0.0304,0.5978,0.7118,0.604,0.1881,0.0,0.0413,-177.4452,15.8834,0.0,4.6614
sample15.mp4,18.0,21.0,3.0,8,0.875,1.0,1.0,7,7,0.4,2.0551,1.399,10.0713,2.5768,-0.9707,0.756,2.1692,31.55,2,40.0,0.5946,0.0343,0.7161,0.0396,0.5978,0.7118,0.604,0.1881,0.0,0.0496,-177.4452,15.8834,0.0,6.0441
sample15.mp4,21.0,24.0,3.0,7,0.8571,1.0,1.0,7,7,0.4,2.6727,1.0696,12.9515,6.3223,-0.9152,0.9139,1.7832,35.93,2,40.0,0.5662,0.0437,0.7164,0.0588,0.5978,0.7118,0.604,0.1881,0.0,0.0733,-177.4452,15.8834,0.2857,5.1723
sample15.mp4,24.0,27.0,3.0,8,1.0,1.0,1.0,8,8,0.0,1.4114,0.7231,12.1335,4.2784,-0.9846,1.5105,36.0566,2.7,2,40.0,0.5838,0.0282,0.7182,0.0336,0.5978,0.7118,0.604,0.1881,0.0,0.0401,-177.4452,15.8834,0.125,47.9157
sample15.mp4,27.0,30.0,3.0,7,1.0,1.0,1.0,7,7,0.0,1.713,1.0997,14.7999,1.8806,-2.5292,1.1735,1.41,41.49,1,20.0,0.5807,0.0599,0.7199,0.0331,0.5978,0.7118,0.604,0.1881,0.0,0.0605,-177.4452,15.8834,0.0,2.322
sample15.mp4,30.0,33.0,3.0,8,1.0,1.0,1.0,8,8,0.0,1.5645,1.0775,12.0566,4.4141,-1.9911,1.1467,2.4865,28.68,1,20.0,0.5251,0.0357,0.7605,0.0378,0.5978,0.7118,0.604,0.1881,0.0,0.092,-177.4452,15.8834,0.125,5.037
sample15.mp4,33.0,36.0,3.0,7,1.0,1.0,1.0,7,7,0.0,1.8059,1.5887,8.1185,4.7044,-0.7882,1.2732,22.2864,4.29,2,40.0,0.6072,0.0272,0.7185,0.0384,0.5978,0.7118,0.604,0.1881,0.0,0.0417,-177.4452,15.8834,0.4286,57.4019
sample15.mp4,36.0,39.0,3.0,8,1.0,1.0,1.0,8,8,0.0,2.2456,1.3794,12.9453,4.5998,-2.0039,0.4125,36.5072,2.67,2,40.0,0.5183,0.0182,0.7422,0.0348,0.5978,0.7118,0.604,0.1881,0.0,0.0898,-177.4452,15.8834,0.125,49.1956
sample15.mp4,39.0,42.0,3.0,7,1.0,1.0,1.0,7,7,0.0,0.6248,0.4563,5.7987,8.9505,-0.8987,0.8212,64.0929,1.54,1,20.0,0.6336,0.0129,0.6935,0.0437,0.5978,0.7118,0.604,0.1881,0.0,0.057,-177.4452,15.8834,0.5714,110.3155
sample15.mp4,42.0,45.0,3.0,8,0.75,1.0,1.0,7,7,0.8,1.1026,1.017,9.7063,5.9108,-2.4202,0.8924,69.915,1.41,1,20.0,0.5636,0.0265,0.6464,0.0568,0.5978,0.7118,0.604,0.1881,0.0,0.0885,-177.4452,15.8834,0.5,179.7795
sample15.mp4,45.0,48.0,3.0,7,1.0,1.0,1.0,7,7,0.0,0.9935,0.8192,5.9177,12.3921,-0.7947,1.1351,83.6564,1.18,2,40.0,0.582,0.026,0.7074,0.0482,0.5978,0.7118,0.604,0.1881,0.0,0.0529,-177.4452,15.8834,0.5714,111.217
sample15.mp4,48.0,51.0,3.0,8,1.0,1.0,1.0,8,8,0.0,2.287,1.2401,17.7391,4.5514,-1.4865,0.2461,2.444,29.04,3,60.0,0.5164,0.0205,0.7169,0.0349,0.5978,0.7118,0.604,0.1881,0.0,0.0892,-177.4452,15.8834,0.0,4.0033
sample15.mp4,51.0,54.0,3.0,7,0.8571,1.0,1.0,6,6,0.4,1.1901,0.4686,9.1031,5.9502,-2.0832,1.2322,1.9165,34.29,1,20.0,0.5866,0.0361,0.6959,0.029,0.5978,0.7118,0.604,0.1881,0.0,0.0494,-177.4452,15.8834,0.2857,7.1572
sample15.mp4,54.0,57.0,3.0,8,1.0,1.0,1.0,8,8,0.0,2.4494,1.3309,6.9189,8.0075,-2.0973,1.5031,36.7707,2.65,2,40.0,0.5608,0.0491,0.712,0.0368,0.5978,0.7118,0.604,0.1881,0.0,0.062,-177.4452,15.8834,0.375,51.6873
sample15.mp4,57.0,60.0,3.0,7,0.8571,1.0,1.0,7,7,0.4,1.3622,0.5008,13.8957,7.7202,-3.5465,0.9141,4.397,18.53,1,20.0,0.5916,0.0208,0.7435,0.0595,0.5978,0.7118,0.604,0.1881,0.0,0.0472,-177.4452,15.8834,0.1429,6.3187
sample15.mp4,60.0,63.0,3.0,8,0.875,1.0,1.0,8,8,0.2,2.2343,1.2183,7.2189,13.0896,-2.6895,1.348,2.8828,25.75,3,60.0,0.5754,0.0502,0.723,0.0316,0.5978,0.7118,0.604,0.1881,0.0,0.0586,-177.4452,15.8834,0.375,11.0715
sample15.mp4,63.0,66.0,3.0,7,0.8571,1.0,1.0,7,7,0.4,1.7513,1.2096,12.6739,13.0768,-0.7391,2.1414,43.3547,2.25,2,40.0,0.5671,0.0145,0.7498,0.0231,0.5978,0.7118,0.604,0.1881,0.0,0.051,-177.4452,15.8834,0.4286,60.3003
sample15.mp4,66.0,69.0,3.0,8,1.0,1.0,1.0,8,8,0.0,1.3484,1.0504,8.6025,12.971,-2.1736,0.8385,36.5346,2.66,3,60.0,0.5846,0.0455,0.7322,0.0284,0.5978,0.7118,0.604,0.1881,0.0,0.0552,-177.4452,15.8834,0.5,96.6167
sample15.mp4,69.0,72.0,3.0,7,0.7143,1.0,1.0,7,7,0.8,2.9338,0.9611,9.7625,8.2652,-1.2629,1.0343,2.3154,30.16,1,20.0,0.5385,0.0432,0.7773,0.033,0.5978,0.7118,0.604,0.1881,0.1429,0.0918,-177.4452,15.8834,0.2857,7.6532
sample15.mp4,72.0,75.0,3.0,8,0.875,1.0,1.0,7,7,0.4,3.7706,1.4284,8.3584,8.9255,-0.3255,1.6659,3.312,23.19,1,20.0,0.6161,0.0091,0.7007,0.0288,0.5978,0.7118,0.604,0.1881,0.0,0.0343,-177.4452,15.8834,0.25,9.6584
