filename,window_start,window_end,window_duration,window_frames,eye_contact_ratio,face_visibility_ratio,gaze_center_ratio,valid_gaze_frames,gaze_center_frames,looking_away_total_time,head_pitch_offset_mean,head_pitch_offset_std,head_yaw_mean,head_yaw_std,head_roll_mean,head_roll_std,head_movement_mean_delta,head_movement_stability_score,blink_count,blink_rate_per_minute,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,primary_gaze_horizontal_ratio,primary_gaze_vertical_ratio,primary_gaze_zone_ratio,secondary_gaze_zone_ratio,gaze_deviation_from_primary_ratio,gaze_deviation_from_primary_mean,primary_head_pitch,primary_head_yaw,head_deviation_from_primary_ratio,head_deviation_from_primary_mean
sample26.mp4,0.0,3.0,3.0,9,0.0,1.0,0.0,9,0,3.0,1.6015,0.9953,5.2101,8.2265,7.0145,1.2017,47.5667,2.06,3,60.0,0.7363,0.0347,1.0202,0.1113,0.7287,1.1757,0.1806,0.1674,0.3333,0.1712,176.0287,8.5393,0.5556,124.7644
sample26.mp4,3.0,6.0,3.0,9,0.0,1.0,0.0,9,0,3.0,1.9372,0.7793,15.4841,2.9875,1.9835,1.1699,1.6852,37.24,2,40.0,0.7569,0.0649,1.119,0.1602,0.7287,1.1757,0.1806,0.1674,0.1111,0.1538,176.0287,8.5393,0.1111,7.3215
sample26.mp4,6.0,9.0,3.0,9,0.7778,1.0,0.0,2,0,0.67,2.9536,1.055,9.7817,10.2452,2.3882,1.8567,4.1459,19.43,1,20.0,0.8077,0.0073,1.1333,0.0333,0.7287,1.1757,0.1806,0.1674,0.0,0.0955,176.0287,8.5393,0.1111,7.4881
sample26.mp4,9.0,12.0,3.0,9,0.7778,1.0,0.5,2,1,0.67,4.3316,1.7705,15.6954,3.8418,2.7431,1.4578,1.6376,37.91,1,20.0,0.6861,0.0584,1.2333,0.0667,0.7287,1.1757,0.1806,0.1674,0.0,0.0892,176.0287,8.5393,0.1111,7.6469
sample26.mp4,12.0,15.0,3.0,9,0.1111,1.0,0.0,8,0,2.67,2.2485,0.9996,9.0576,9.6289,4.1953,2.5184,3.0001,25.0,2,40.0,0.7459,0.0236,1.099,0.1319,0.7287,1.1757,0.1806,0.1674,0.125,0.1284,176.0287,8.5393,0.2222,9.0167
sample26.mp4,15.0,18.0,3.0,9,0.1111,1.0,0.0,7,0,2.67,3.7212,1.56,-9.8792,12.4498,8.1229,2.9346,7.8408,11.31,2,40.0,0.7582,0.0531,1.1708,0.2359,0.7287,1.1757,0.1806,0.1674,0.4286,0.2222,176.0287,8.5393,0.6667,19.1548
sample26.mp4,18.0,21.0,3.0,9,0.2222,1.0,0.0,4,0,2.33,3.5333,1.3406,-12.1534,12.6557,8.8315,2.6438,5.5957,15.16,2,40.0,0.7002,0.0118,1.0833,0.0833,0.7287,1.1757,0.1806,0.1674,0.25,0.1016,176.0287,8.5393,0.7778,21.7396
sample26.mp4,21.0,24.0,3.0,9,0.3333,1.0,0.0,6,0,2.0,3.0405,1.5502,14.2124,4.1716,3.2243,3.3557,1.9623,33.76,1,20.0,0.7443,0.0271,1.2833,0.1213,0.7287,1.1757,0.1806,0.1674,0.3333,0.1429,176.0287,8.5393,0.0,6.5603
sample26.mp4,24.0,27.0,3.0,9,1.0,1.0,0.0,0,0,0.0,5.3465,1.4745,0.7577,8.0484,1.0846,1.9984,3.1356,24.18,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.3333,8.8364
sample26.mp4,27.0,30.0,3.0,9,0.7778,1.0,0.0,0,0,0.67,4.3129,0.8937,-3.8278,9.937,2.6057,2.2916,5.2318,16.05,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.4444,12.9255
sample26.mp4,30.0,33.0,3.0,9,0.3333,1.0,0.1667,6,1,2.0,2.9887,1.1678,2.7006,7.7033,3.5828,1.4643,33.9947,2.86,1,20.0,0.6857,0.0535,1.2675,0.2795,0.7287,1.1757,0.1806,0.1674,0.3333,0.2536,176.0287,8.5393,0.4444,84.881
sample26.mp4,33.0,36.0,3.0,9,0.5556,1.0,0.0,3,0,1.33,2.341,1.263,0.8106,10.0959,4.3024,1.8519,34.0562,2.85,1,20.0,0.7804,0.091,1.1278,0.1528,0.7287,1.1757,0.1806,0.1674,0.6667,0.1645,176.0287,8.5393,0.5556,49.2414
sample26.mp4,36.0,39.0,3.0,9,0.3333,1.0,0.0,1,0,2.0,4.551,1.1746,-10.7097,9.5864,9.4941,4.0594,3.6303,21.6,1,20.0,0.7381,,1.75,,0.7287,1.1757,0.1806,0.1674,1.0,0.5744,176.0287,8.5393,0.7778,19.3101
sample26.mp4,39.0,42.0,3.0,9,0.2222,1.0,0.0,5,0,2.33,2.8398,1.2783,0.636,11.5093,2.8218,3.6939,3.7496,21.05,1,20.0,0.7206,0.0157,1.15,0.1116,0.7287,1.1757,0.1806,0.1674,0.0,0.1131,176.0287,8.5393,0.4444,11.2571
sample26.mp4,42.0,45.0,3.0,9,1.0,1.0,0.0,0,0,0.0,4.9646,1.1578,2.3934,9.8447,4.482,3.8711,4.3382,18.73,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.2222,9.4473
sample26.mp4,45.0,48.0,3.0,9,1.0,1.0,0.0,0,0,0.0,5.7098,1.0632,5.9892,9.1538,8.4139,3.4193,3.0577,24.64,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.2222,8.8426
sample26.mp4,48.0,51.0,3.0,9,1.0,1.0,0.0,0,0,0.0,4.5585,0.5888,12.5064,4.1755,4.2101,1.8718,2.473,28.79,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.0,5.1747
sample26.mp4,51.0,54.0,3.0,9,0.2222,1.0,0.0,7,0,2.33,1.8966,0.9273,10.4897,8.7403,3.7226,1.1463,3.1118,24.32,2,40.0,0.7357,0.0299,1.0527,0.1004,0.7287,1.1757,0.1806,0.1674,0.2857,0.1298,176.0287,8.5393,0.1111,7.7132
sample26.mp4,54.0,57.0,3.0,9,0.8889,1.0,0.0,0,0,0.33,5.2789,2.3811,2.4344,8.7621,3.8291,2.0727,5.533,15.31,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.3333,8.0488
sample26.mp4,57.0,60.0,3.0,9,0.0,1.0,0.0,0,0,3.0,4.1883,0.8995,-23.1526,4.0905,13.9318,2.7716,2.1395,31.85,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,1.0,31.7093
sample26.mp4,60.0,63.0,3.0,9,0.6667,1.0,0.0,2,0,1.0,3.4001,0.7481,-4.3373,13.4901,5.1306,4.5333,3.8557,20.59,0,0.0,0.7632,0.0323,0.8869,0.1131,0.7287,1.1757,0.1806,0.1674,0.5,0.2916,176.0287,8.5393,0.3333,12.9442
sample26.mp4,63.0,66.0,3.0,9,0.5556,1.0,0.0,3,0,1.33,3.7399,1.9713,1.5252,10.007,0.742,2.1901,20.8974,4.57,2,40.0,0.7421,0.083,1.4024,0.5566,0.7287,1.1757,0.1806,0.1674,0.6667,0.4486,176.0287,8.5393,0.4444,48.3551
sample26.mp4,66.0,69.0,3.0,9,0.7778,1.0,0.0,1,0,0.67,4.1739,1.5471,-4.8063,6.9203,7.3883,2.5006,3.7518,21.04,1,20.0,0.7381,,1.0,,0.7287,1.1757,0.1806,0.1674,0.0,0.176,176.0287,8.5393,0.6667,13.464
sample26.mp4,69.0,72.0,3.0,9,0.0,1.0,0.0,2,0,3.0,4.726,3.1445,-15.97,16.5748,-5.3695,57.606,50.5424,1.94,1,20.0,0.6899,0.0081,1.0833,0.0833,0.7287,1.1757,0.1806,0.1674,0.5,0.1069,176.0287,8.5393,0.7778,63.1377
sample26.mp4,72.0,75.0,3.0,9,0.3333,1.0,0.0,0,0,2.0,6.6523,1.1895,-12.9972,7.949,15.1114,2.3568,5.088,16.43,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.7778,21.7481
sample26.mp4,75.0,78.0,3.0,9,0.2222,1.0,0.0,2,0,2.33,6.1083,2.4462,-7.2189,13.7648,9.7936,5.9606,3.9382,20.25,1,20.0,0.8236,0.0097,1.0583,0.1417,0.7287,1.1757,0.1806,0.1674,0.5,0.19,176.0287,8.5393,0.6667,18.347
sample26.mp4,78.0,81.0,3.0,9,0.4444,1.0,0.0,0,0,1.67,5.527,0.5712,-10.5351,13.4793,12.1007,4.9314,3.068,24.58,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.7778,21.39
sample26.mp4,81.0,84.0,3.0,9,0.5556,1.0,0.0,4,0,1.33,2.7474,1.5095,4.555,9.2238,6.1319,2.3527,20.1983,4.72,2,40.0,0.7716,0.0108,1.003,0.09,0.7287,1.1757,0.1806,0.1674,0.5,0.1791,176.0287,8.5393,0.3333,47.5589
sample26.mp4,84.0,87.0,3.0,9,0.3333,1.0,0.0,3,0,2.0,3.2833,1.1406,-14.5942,9.1266,10.0609,2.4045,3.3999,22.73,2,40.0,0.7642,0.0278,0.8333,0.0891,0.7287,1.1757,0.1806,0.1674,1.0,0.3455,176.0287,8.5393,0.8889,23.2255
sample26.mp4,87.0,90.0,3.0,9,0.2222,1.0,0.0,0,0,2.33,4.1473,0.9418,-15.6102,6.0985,11.8078,1.7536,3.3561,22.96,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,1.0,24.173
sample26.mp4,90.0,93.0,3.0,9,0.3333,1.0,0.0,3,0,2.0,3.9012,0.5682,-14.3787,4.8015,11.6986,1.505,2.4352,29.11,1,20.0,0.7617,0.0131,1.0754,0.0632,0.7287,1.1757,0.1806,0.1674,0.0,0.1133,176.0287,8.5393,1.0,22.925
sample26.mp4,93.0,96.0,3.0,9,0.5556,1.0,0.0,2,0,1.33,3.5051,1.0897,-2.6511,10.4055,4.1467,3.4766,4.388,18.56,1,20.0,0.7587,0.0087,1.2917,0.0083,0.7287,1.1757,0.1806,0.1674,0.0,0.1199,176.0287,8.5393,0.5556,12.4088
sample26.mp4,96.0,99.0,3.0,9,1.0,1.0,0.0,0,0,0.0,4.7212,1.3055,4.368,7.9858,0.5214,3.0409,6.0135,14.26,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.2222,7.4477
sample26.mp4,99.0,102.0,3.0,9,0.6667,1.0,1.0,1,1,1.0,4.2759,1.3039,-3.6942,15.1419,-0.4034,4.5683,5.2734,15.94,1,20.0,0.5333,,1.625,,0.7287,1.1757,0.1806,0.1674,1.0,0.4899,176.0287,8.5393,0.3333,14.0914
sample26.mp4,102.0,105.0,3.0,9,0.8889,1.0,0.0,0,0,0.33,4.7638,1.8485,3.5756,14.2645,-2.8623,1.3826,5.0559,16.51,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.4444,11.7546
sample26.mp4,105.0,108.0,3.0,9,0.3333,1.0,0.25,4,1,2.0,2.6185,1.3623,-0.4521,19.7042,-18.0005,56.1625,52.9014,1.86,1,20.0,0.7086,0.0661,1.0976,0.2977,0.7287,1.1757,0.1806,0.1674,0.75,0.3012,176.0287,8.5393,0.4444,52.669
sample26.mp4,108.0,111.0,3.0,9,0.6667,1.0,0.0,1,0,1.0,3.332,1.289,-0.1709,14.1967,-0.0342,1.9153,33.2635,2.92,1,20.0,0.789,,0.8452,,0.7287,1.1757,0.1806,0.1674,1.0,0.3359,176.0287,8.5393,0.2222,46.3658
sample26.mp4,111.0,114.0,3.0,9,0.2222,1.0,0.0,3,0,2.33,2.5526,1.7552,-3.088,21.8514,3.8634,3.8081,3.5507,21.97,1,20.0,0.748,0.0243,1.1778,0.0157,0.7287,1.1757,0.1806,0.1674,0.0,0.0286,176.0287,8.5393,0.4444,20.4379
sample26.mp4,114.0,117.0,3.0,9,0.0,1.0,0.0,5,0,3.0,2.087,1.5933,-21.0034,11.4901,9.3881,1.8242,32.7956,2.96,4,80.0,0.7913,0.0593,1.2333,0.1792,0.7287,1.1757,0.1806,0.1674,0.4,0.153,176.0287,8.5393,0.8889,66.1328
sample26.mp4,117.0,120.0,3.0,9,0.5556,1.0,0.0,3,0,1.33,3.8452,0.9527,5.4635,16.7789,-12.469,55.8599,51.3035,1.91,2,40.0,0.7781,0.0566,1.2722,0.1264,0.7287,1.1757,0.1806,0.1674,0.3333,0.1141,176.0287,8.5393,0.4444,48.7158
sample26.mp4,120.0,123.0,3.0,9,0.4444,1.0,0.0,0,0,1.67,4.5995,1.4446,-13.1175,10.1052,10.1093,4.5633,5.2503,16.0,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.7778,21.8056
sample26.mp4,123.0,126.0,3.0,9,0.6667,1.0,0.0,0,0,1.0,5.6045,2.1234,-0.5865,13.2859,8.3073,8.4209,3.4013,22.72,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.3333,11.4223
sample26.mp4,126.0,129.0,3.0,9,0.8889,1.0,0.0,0,0,0.33,2.8673,1.8149,5.1446,10.7179,4.93,2.3308,32.9012,2.95,0,0.0,,,,,0.7287,1.1757,0.1806,0.1674,0.0,,176.0287,8.5393,0.3333,47.0034
sample26.mp4,129.0,132.0,3.0,9,0.1111,1.0,0.0,2,0,2.67,4.5154,1.4565,-11.769,12.0137,7.308,4.3359,5.148,16.27,1,20.0,0.7378,0.0057,1.4,0.0,0.7287,1.1757,0.1806,0.1674,1.0,0.2246,176.0287,8.5393,0.7778,21.067
sample26.mp4,132.0,135.0,3.0,9,0.0,1.0,0.0,7,0,3.0,2.312,1.0938,0.2303,17.2969,4.6118,3.0677,5.7518,14.81,1,20.0,0.7312,0.0275,1.0355,0.1268,0.7287,1.1757,0.1806,0.1674,0.2857,0.1494,176.0287,8.5393,0.4444,16.3026
sample26.mp4,135.0,138.0,3.0,9,0.0,1.0,0.1667,6,1,3.0,3.4424,1.0489,-19.2739,12.7883,10.8436,4.1058,3.9714,20.12,3,60.0,0.71,0.0573,1.2496,0.0895,0.7287,1.1757,0.1806,0.1674,0.1667,0.095,176.0287,8.5393,0.8889,29.4456
