filename,window_start,window_end,window_duration,window_frames,eye_contact_ratio,face_visibility_ratio,gaze_center_ratio,valid_gaze_frames,gaze_center_frames,looking_away_total_time,head_pitch_offset_mean,head_pitch_offset_std,head_yaw_mean,head_yaw_std,head_roll_mean,head_roll_std,head_movement_mean_delta,head_movement_stability_score,blink_count,blink_rate_per_minute,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,primary_gaze_horizontal_ratio,primary_gaze_vertical_ratio,primary_gaze_zone_ratio,secondary_gaze_zone_ratio,gaze_deviation_from_primary_ratio,gaze_deviation_from_primary_mean,primary_head_pitch,primary_head_yaw,head_deviation_from_primary_ratio,head_deviation_from_primary_mean
sample66.mp4,0.0,3.0,3.0,9,0.0,1.0,0.4444,9,4,3.0,6.5306,1.238,11.5079,13.6662,19.6384,55.8592,20.4868,4.65,1,20.0,0.6277,0.0656,0.9206,0.0621,0.6029,0.8335,0.1406,0.1225,0.2222,0.1164,-174.7035,23.8229,0.5556,16.4675
sample66.mp4,3.0,6.0,3.0,9,0.1111,1.0,0.875,8,7,2.67,7.7586,2.9212,1.0914,14.854,2.131,2.4258,4.6137,17.81,1,20.0,0.5945,0.0667,1.0177,0.1139,0.6029,0.8335,0.1406,0.1225,0.625,0.2052,-174.7035,23.8229,0.6667,22.9767
sample66.mp4,6.0,9.0,3.0,9,0.2222,1.0,0.7143,7,5,2.33,6.8418,1.9242,9.3446,17.1511,1.6197,2.5766,4.3587,18.66,2,40.0,0.6133,0.0353,0.8213,0.156,0.6029,0.8335,0.1406,0.1225,0.1429,0.1363,-174.7035,23.8229,0.4444,16.4217
sample66.mp4,9.0,12.0,3.0,9,0.3333,1.0,0.6667,6,4,2.0,5.4964,2.7519,18.6675,10.5736,3.1878,2.6403,6.218,13.85,0,0.0,0.6288,0.0338,0.7416,0.1,0.6029,0.8335,0.1406,0.1225,0.1667,0.1304,-174.7035,23.8229,0.2222,9.7322
sample66.mp4,12.0,15.0,3.0,9,0.6667,1.0,0.5,8,4,1.0,5.0296,1.9542,-1.6551,15.2352,1.514,0.9166,2.9199,25.51,0,0.0,0.6432,0.0427,0.8129,0.0875,0.6029,0.8335,0.1406,0.1225,0.0,0.1017,-174.7035,23.8229,0.6667,25.8765
sample66.mp4,15.0,18.0,3.0,9,0.2222,1.0,0.7143,7,5,2.33,4.0545,1.6906,-4.8943,18.6796,7.8336,4.645,4.7099,17.51,0,0.0,0.6126,0.0399,0.6976,0.0643,0.6029,0.8335,0.1406,0.1225,0.4286,0.1431,-174.7035,23.8229,0.7778,30.8251
sample66.mp4,18.0,21.0,3.0,9,0.3333,1.0,1.0,5,5,2.0,4.7251,3.0131,3.9134,19.6305,8.2625,6.2471,6.3937,13.52,2,40.0,0.5921,0.0361,0.8283,0.0824,0.6029,0.8335,0.1406,0.1225,0.0,0.0733,-174.7035,23.8229,0.5556,22.0568
sample66.mp4,21.0,24.0,3.0,9,0.1111,1.0,0.6667,6,4,2.67,7.6571,2.7873,17.0078,16.6619,-5.2028,4.2618,6.6114,13.14,2,40.0,0.6268,0.0671,0.9417,0.0611,0.6029,0.8335,0.1406,0.1225,0.1667,0.1298,-174.7035,23.8229,0.3333,13.0486
sample66.mp4,24.0,27.0,3.0,9,0.2222,1.0,0.2,5,1,2.33,6.4209,2.7549,13.4982,22.7948,2.2813,9.3792,37.4979,2.6,0,0.0,0.6141,0.1582,0.8394,0.1268,0.6029,0.8335,0.1406,0.1225,0.6,0.1918,-174.7035,23.8229,0.5556,54.528
sample66.mp4,27.0,30.0,3.0,9,0.4444,1.0,0.75,4,3,1.67,6.5459,2.636,14.3869,18.9847,-1.4898,7.0573,7.963,11.16,1,20.0,0.5387,0.0941,0.9306,0.1283,0.6029,0.8335,0.1406,0.1225,0.5,0.1937,-174.7035,23.8229,0.6667,18.1883
