filename,window_start,window_end,window_duration,window_frames,eye_contact_ratio,face_visibility_ratio,gaze_center_ratio,valid_gaze_frames,gaze_center_frames,looking_away_total_time,head_pitch_offset_mean,head_pitch_offset_std,head_yaw_mean,head_yaw_std,head_roll_mean,head_roll_std,head_movement_mean_delta,head_movement_stability_score,blink_count,blink_rate_per_minute,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,primary_gaze_horizontal_ratio,primary_gaze_vertical_ratio,primary_gaze_zone_ratio,secondary_gaze_zone_ratio,gaze_deviation_from_primary_ratio,gaze_deviation_from_primary_mean,primary_head_pitch,primary_head_yaw,head_deviation_from_primary_ratio,head_deviation_from_primary_mean
sample29.mp4,0.0,3.0,3.0,9,0.3333,1.0,0.1667,6,1,2.0,1.4594,1.4009,1.6943,4.2114,-3.2786,0.9612,31.83,3.05,1,20.0,0.6966,0.0295,1.0083,0.075,0.691,0.99,0.3125,0.2776,0.0,0.0752,-178.2522,-0.3324,0.2222,82.3801
sample29.mp4,3.0,6.0,3.0,9,0.1111,1.0,0.0,8,0,2.67,0.9698,0.6815,1.3413,2.792,-1.8299,0.6821,60.9397,1.61,2,40.0,0.682,0.0117,1.0223,0.0669,0.691,0.99,0.3125,0.2776,0.0,0.0516,-178.2522,-0.3324,0.4444,160.9354
sample29.mp4,6.0,9.0,3.0,9,0.0,1.0,0.0,9,0,3.0,1.6238,0.7503,-2.0594,3.8216,-1.4977,0.8395,31.3965,3.09,2,40.0,0.707,0.0134,1.0304,0.0655,0.691,0.99,0.3125,0.2776,0.0,0.0613,-178.2522,-0.3324,0.1111,42.4734
sample29.mp4,9.0,12.0,3.0,9,0.7778,1.0,0.1111,9,1,0.67,1.2147,0.7218,-1.3191,3.6373,-2.9664,0.7395,76.3524,1.29,1,20.0,0.6926,0.0796,1.1426,0.3092,0.691,0.99,0.3125,0.2776,0.2222,0.1726,-178.2522,-0.3324,0.4444,161.0088
sample29.mp4,12.0,15.0,3.0,9,1.0,1.0,0.0,9,0,0.0,0.8976,0.4472,0.4553,4.0855,-2.8876,1.2772,62.1526,1.58,3,60.0,0.7045,0.0213,0.9888,0.0655,0.691,0.99,0.3125,0.2776,0.0,0.0578,-178.2522,-0.3324,0.2222,82.096
sample29.mp4,15.0,18.0,3.0,9,0.8889,1.0,0.0,9,0,0.33,1.0351,0.6197,1.0503,5.305,-2.8442,0.9796,32.2837,3.0,1,20.0,0.6777,0.0161,0.9874,0.0551,0.691,0.99,0.3125,0.2776,0.0,0.0439,-178.2522,-0.3324,0.2222,43.6877
sample29.mp4,18.0,21.0,3.0,9,0.5556,1.0,0.0,9,0,1.33,1.069,0.8,-2.011,3.923,-2.7385,0.5369,91.5729,1.08,1,20.0,0.7106,0.0313,1.1231,0.1147,0.691,0.99,0.3125,0.2776,0.3333,0.1414,-178.2522,-0.3324,0.4444,161.5183
sample29.mp4,21.0,24.0,3.0,9,1.0,1.0,0.1111,9,1,0.0,0.902,0.6496,4.1944,4.1882,-3.0224,0.7273,61.5115,1.6,4,80.0,0.6783,0.0191,1.0463,0.0414,0.691,0.99,0.3125,0.2776,0.0,0.0641,-178.2522,-0.3324,0.3333,83.6885
sample29.mp4,24.0,27.0,3.0,9,1.0,1.0,0.0,9,0,0.0,0.7319,0.4218,5.0539,1.8248,-3.5124,0.2919,31.082,3.12,3,60.0,0.6839,0.0154,1.0093,0.0262,0.691,0.99,0.3125,0.2776,0.0,0.0264,-178.2522,-0.3324,0.1111,44.9476
sample29.mp4,27.0,30.0,3.0,9,0.8889,1.0,0.0,8,0,0.33,1.5619,1.0474,11.2359,5.3882,-3.8154,0.924,2.3322,30.01,3,60.0,0.689,0.0157,0.9612,0.0572,0.691,0.99,0.3125,0.2776,0.0,0.0615,-178.2522,-0.3324,0.3333,11.636
sample29.mp4,30.0,33.0,3.0,9,1.0,1.0,0.1111,9,1,0.0,0.7137,0.5137,8.2085,5.417,-4.1634,1.3646,32.2426,3.01,2,40.0,0.6804,0.0193,1.0648,0.0655,0.691,0.99,0.3125,0.2776,0.0,0.0817,-178.2522,-0.3324,0.3333,85.7405
sample29.mp4,33.0,36.0,3.0,9,0.8889,1.0,0.2222,9,2,0.33,1.3679,1.0569,4.9908,3.4425,-3.6949,0.692,16.6267,5.67,2,40.0,0.6731,0.0274,0.9979,0.0778,0.691,0.99,0.3125,0.2776,0.0,0.0719,-178.2522,-0.3324,0.2222,83.2637
sample29.mp4,36.0,39.0,3.0,9,1.0,1.0,0.0,9,0,0.0,0.4675,0.3673,4.7406,5.7628,-3.9643,0.5961,46.4203,2.11,1,20.0,0.6981,0.0109,1.0026,0.0517,0.691,0.99,0.3125,0.2776,0.0,0.0425,-178.2522,-0.3324,0.7778,240.852
sample29.mp4,39.0,42.0,3.0,9,1.0,1.0,0.2222,9,2,0.0,1.8879,1.1586,1.0089,4.0401,-2.895,1.1204,32.4193,2.99,1,20.0,0.6637,0.0273,1.028,0.0668,0.691,0.99,0.3125,0.2776,0.0,0.0753,-178.2522,-0.3324,0.1111,43.0413
sample29.mp4,42.0,45.0,3.0,9,0.8889,1.0,0.0,8,0,0.33,1.9564,0.8186,-0.8532,2.1591,-2.7852,0.4539,1.2897,43.67,2,40.0,0.6847,0.0176,1.0067,0.083,0.691,0.99,0.3125,0.2776,0.0,0.0658,-178.2522,-0.3324,0.0,2.125
sample29.mp4,45.0,48.0,3.0,9,0.6667,1.0,0.0,9,0,1.0,1.8116,1.0752,0.8035,3.6708,-2.7194,0.6161,1.4697,40.49,2,40.0,0.6881,0.0383,1.068,0.0945,0.691,0.99,0.3125,0.2776,0.3333,0.1045,-178.2522,-0.3324,0.0,3.2651
