filename,window_start,window_end,window_duration,window_frames,eye_contact_ratio,face_visibility_ratio,gaze_center_ratio,valid_gaze_frames,gaze_center_frames,looking_away_total_time,head_pitch_offset_mean,head_pitch_offset_std,head_yaw_mean,head_yaw_std,head_roll_mean,head_roll_std,head_movement_mean_delta,head_movement_stability_score,blink_count,blink_rate_per_minute,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,primary_gaze_horizontal_ratio,primary_gaze_vertical_ratio,primary_gaze_zone_ratio,secondary_gaze_zone_ratio,gaze_deviation_from_primary_ratio,gaze_deviation_from_primary_mean,primary_head_pitch,primary_head_yaw,head_deviation_from_primary_ratio,head_deviation_from_primary_mean
sample76.mp4,0.0,3.0,3.0,9,0.0,1.0,0.2222,9,2,3.0,2.0668,1.6238,-3.9367,1.3324,-0.8255,0.4688,46.0261,2.13,3,60.0,0.6539,0.0912,0.9505,0.1182,0.7091,0.8392,0.2005,0.1306,0.3333,0.1697,176.6269,-7.4614,0.3333,121.2121
sample76.mp4,3.0,6.0,3.0,9,0.2222,1.0,0.25,8,2,2.33,2.6743,1.3765,-5.2749,1.5468,-0.7616,0.4986,1.6714,37.43,2,40.0,0.6906,0.0564,0.8036,0.1618,0.7091,0.8392,0.2005,0.1306,0.5,0.1551,176.6269,-7.4614,0.0,2.8468
sample76.mp4,6.0,9.0,3.0,9,0.1111,1.0,0.875,8,7,2.67,3.3689,1.0177,-3.6606,2.0784,-1.6353,0.6428,1.2594,44.26,0,0.0,0.6133,0.0694,0.8991,0.0515,0.7091,0.8392,0.2005,0.1306,0.125,0.1263,176.6269,-7.4614,0.0,4.1779
sample76.mp4,9.0,12.0,3.0,9,0.6667,1.0,0.3333,9,3,1.0,2.3027,1.4322,-7.0332,5.2956,-1.8373,0.6837,2.0754,32.52,2,40.0,0.6813,0.0446,0.8856,0.0775,0.7091,0.8392,0.2005,0.1306,0.1111,0.09,176.6269,-7.4614,0.0,4.8383
sample76.mp4,12.0,15.0,3.0,9,0.4444,1.0,0.375,8,3,1.67,3.1996,1.2659,-2.5375,7.4306,-2.5539,1.6031,3.5287,22.08,2,40.0,0.6446,0.1081,0.8987,0.1336,0.7091,0.8392,0.2005,0.1306,0.25,0.1851,176.6269,-7.4614,0.2222,6.2287
sample76.mp4,15.0,18.0,3.0,9,0.3333,1.0,0.0,9,0,2.0,2.2462,1.382,-7.6132,4.6814,-0.6309,0.642,1.6744,37.39,1,20.0,0.7077,0.0454,0.8553,0.1699,0.7091,0.8392,0.2005,0.1306,0.3333,0.1455,176.6269,-7.4614,0.0,4.4268
sample76.mp4,18.0,21.0,3.0,9,0.5556,1.0,0.2222,9,2,1.33,1.271,0.8249,-6.4043,1.4776,-1.1868,1.0119,1.1209,47.15,0,0.0,0.6911,0.0655,0.8297,0.1641,0.7091,0.8392,0.2005,0.1306,0.3333,0.131,176.6269,-7.4614,0.0,2.6392
sample76.mp4,21.0,24.0,3.0,9,0.7778,1.0,0.5556,9,5,0.67,1.9224,0.8884,-7.7155,3.0067,-1.247,1.0111,2.3341,29.99,1,20.0,0.6403,0.051,0.8475,0.1039,0.7091,0.8392,0.2005,0.1306,0.1111,0.1152,176.6269,-7.4614,0.0,3.0006
sample76.mp4,24.0,27.0,3.0,9,0.3333,1.0,0.1429,7,1,2.0,2.6738,1.4188,-1.742,6.9306,-1.3503,0.6039,2.8567,25.93,1,20.0,0.6637,0.1081,0.9886,0.1905,0.7091,0.8392,0.2005,0.1306,0.2857,0.1997,176.6269,-7.4614,0.1111,6.1841
sample76.mp4,27.0,30.0,3.0,9,0.1111,1.0,0.6667,3,2,2.67,2.9142,1.3668,-6.0501,3.1852,-1.6258,0.7619,2.1287,31.96,1,20.0,0.6022,0.1273,0.9262,0.1263,0.7091,0.8392,0.2005,0.1306,0.6667,0.2218,176.6269,-7.4614,0.0,3.3283
sample76.mp4,30.0,33.0,3.0,9,0.0,1.0,0.0,2,0,3.0,3.4415,0.6553,-12.6489,6.0045,0.2623,0.865,2.2481,30.79,1,20.0,0.6733,0.0,1.1667,0.0,0.7091,0.8392,0.2005,0.1306,1.0,0.3294,176.6269,-7.4614,0.1111,5.8606
