filename,window_start,window_end,window_duration,window_frames,eye_contact_ratio,face_visibility_ratio,gaze_center_ratio,valid_gaze_frames,gaze_center_frames,looking_away_total_time,head_pitch_offset_mean,head_pitch_offset_std,head_yaw_mean,head_yaw_std,head_roll_mean,head_roll_std,head_movement_mean_delta,head_movement_stability_score,blink_count,blink_rate_per_minute,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,primary_gaze_horizontal_ratio,primary_gaze_vertical_ratio,primary_gaze_zone_ratio,secondary_gaze_zone_ratio,gaze_deviation_from_primary_ratio,gaze_deviation_from_primary_mean,primary_head_pitch,primary_head_yaw,head_deviation_from_primary_ratio,head_deviation_from_primary_mean
sample64.mp4,0.0,3.0,3.0,9,0.7778,1.0,0.0,2,0,0.71,1.6385,0.8433,-18.1109,2.6444,-5.2516,0.6023,16.8176,5.61,1,20.0,0.7103,0.0444,1.3917,0.025,0.7548,1.4167,0.1111,0.1111,0.0,0.051,-177.6852,-16.3719,0.1111,42.4048
sample64.mp4,3.0,6.0,3.0,8,1.0,1.0,0.0,0,0,0.0,2.0659,1.2986,-15.7168,4.3275,-3.6822,0.3771,1.8179,35.49,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,4.2873
sample64.mp4,6.0,9.0,3.0,9,1.0,1.0,0.0,0,0,0.0,2.2016,0.8095,-16.1511,2.6368,-4.0642,0.5487,1.2194,45.06,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,2.491
sample64.mp4,9.0,12.0,3.0,8,1.0,1.0,0.0,0,0,0.0,2.5525,0.9225,-16.3366,5.4178,-3.3095,0.6378,2.5433,28.22,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,5.2188
sample64.mp4,12.0,15.0,3.0,9,1.0,1.0,0.0,0,0,0.0,1.8105,0.6078,-13.7097,8.9173,-3.9286,0.8868,3.1992,23.81,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.1111,6.2309
sample64.mp4,15.0,18.0,3.0,8,1.0,1.0,0.0,0,0,0.0,2.063,1.0743,-13.6753,5.1275,-3.6087,1.0997,3.8085,20.8,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,5.4307
sample64.mp4,18.0,21.0,3.0,9,1.0,1.0,0.0,0,0,0.0,1.9792,0.6218,-18.1544,3.8729,-3.4673,0.4637,1.6454,37.8,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,4.0087
sample64.mp4,21.0,24.0,3.0,8,1.0,1.0,0.0,0,0,0.0,3.0049,0.8835,-13.8696,9.0885,-3.2927,0.679,4.3292,18.76,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.125,7.2687
sample64.mp4,24.0,27.0,3.0,9,0.8889,1.0,0.0,0,0,0.35,1.95,0.4745,-13.5309,12.2465,-4.0492,0.7043,4.2071,19.2,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.1111,6.4717
sample64.mp4,27.0,30.0,3.0,8,0.875,1.0,0.0,0,0,0.35,2.1598,1.0168,-10.7177,15.6741,-4.1278,0.3617,4.539,18.05,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.125,9.1149
sample64.mp4,30.0,33.0,3.0,9,0.6667,1.0,0.0,1,0,1.06,10.7882,23.9075,-8.2803,11.5233,-3.8666,0.4891,11.1513,8.23,0,0.0,0.6696,,0.8125,,0.7548,1.4167,0.1111,0.1111,1.0,0.6102,-177.6852,-16.3719,0.4444,17.7713
sample64.mp4,33.0,36.0,3.0,8,1.0,1.0,0.0,0,0,0.0,1.8446,0.7136,-13.435,8.8123,-5.9149,3.3335,20.4126,4.67,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.125,49.0425
sample64.mp4,36.0,39.0,3.0,9,1.0,1.0,0.0,0,0,0.0,2.1318,0.6696,-16.3763,7.4101,-5.6643,3.6058,32.4826,2.99,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.2222,44.301
sample64.mp4,39.0,42.0,3.0,8,1.0,1.0,0.0,0,0,0.0,1.4076,0.4125,-14.7018,2.7815,-3.8414,0.1875,35.094,2.77,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.125,47.1568
sample64.mp4,42.0,45.0,3.0,9,1.0,1.0,0.0,0,0,0.0,1.6551,0.9277,-17.8785,4.3072,-3.9649,0.5206,2.1863,31.38,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,3.7726
sample64.mp4,45.0,48.0,3.0,8,1.0,1.0,0.0,0,0,0.0,3.0906,1.6203,-13.2844,3.7667,-4.9123,0.5708,35.6948,2.73,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.125,47.4665
sample64.mp4,48.0,51.0,3.0,9,1.0,1.0,0.0,0,0,0.0,1.8853,0.6211,-14.2375,6.7914,-4.73,0.5218,17.3836,5.44,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.1111,42.7291
sample64.mp4,51.0,54.0,3.0,8,1.0,1.0,0.0,0,0,0.0,1.2539,0.887,-13.655,4.947,-4.181,0.4492,2.6155,27.66,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,5.1236
sample64.mp4,54.0,57.0,3.0,9,0.8889,1.0,0.0,1,0,0.35,1.623,0.8811,-16.5609,4.472,-4.5371,0.499,61.8206,1.59,0,0.0,1.0212,,1.2381,,0.7548,1.4167,0.1111,0.1111,1.0,0.3207,-177.6852,-16.3719,0.2222,81.694
sample64.mp4,57.0,60.0,3.0,8,1.0,1.0,0.0,0,0,0.0,1.8161,1.3753,-14.5835,6.7896,-4.193,0.5636,3.5508,21.97,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.125,6.2192
sample64.mp4,60.0,63.0,3.0,9,1.0,1.0,0.0,0,0,0.0,1.9375,0.4981,-16.0739,5.2749,-4.543,0.8004,2.0199,33.11,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,3.9767
sample64.mp4,63.0,66.0,3.0,8,1.0,1.0,0.0,0,0,0.0,1.5682,0.7042,-13.3662,5.1444,-4.8109,0.6198,2.4269,29.18,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,4.5787
sample64.mp4,66.0,69.0,3.0,9,1.0,1.0,0.0,0,0,0.0,2.4072,0.7597,-18.8158,5.5007,-5.18,0.464,3.0075,24.95,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.1111,4.6536
sample64.mp4,69.0,72.0,3.0,8,1.0,1.0,0.0,0,0,0.0,2.8684,1.0688,-17.5519,3.1496,-4.4937,1.1444,1.7588,36.25,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,3.1652
sample64.mp4,72.0,75.0,3.0,9,1.0,1.0,0.0,0,0,0.0,2.491,0.7425,-14.3993,8.1036,-3.8624,0.9397,4.6068,17.84,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.1111,6.1885
sample64.mp4,75.0,78.0,3.0,8,1.0,1.0,0.0,0,0,0.0,3.0498,1.1271,-13.7388,3.8673,-4.5204,0.3122,2.5303,28.33,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,4.1597
sample64.mp4,78.0,81.0,3.0,9,1.0,1.0,0.0,0,0,0.0,1.6597,0.7253,-14.2213,3.8229,-4.5203,0.3023,32.0856,3.02,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.1111,43.0562
sample64.mp4,81.0,84.0,3.0,8,1.0,1.0,0.0,0,0,0.0,2.0714,0.4126,-17.8891,2.8518,-3.6748,0.5913,1.4568,40.7,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,2.835
sample64.mp4,84.0,87.0,3.0,9,0.8889,1.0,0.0,0,0,0.35,2.0893,0.8267,-11.5598,11.9091,-4.7098,0.966,4.8835,17.0,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.1111,6.8834
sample64.mp4,87.0,90.0,3.0,8,0.75,1.0,0.0,0,0,0.71,1.9152,0.6765,-8.2285,16.5637,-4.7284,0.7646,6.1186,14.05,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.25,10.9948
sample64.mp4,90.0,93.0,3.0,9,1.0,1.0,0.0,0,0,0.0,2.4976,0.5684,-14.9003,4.8963,-4.1217,0.4579,1.456,40.72,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,4.1302
sample64.mp4,93.0,96.0,3.0,8,1.0,1.0,0.0,0,0,0.0,1.9937,0.6182,-16.7366,5.5416,-4.0659,0.5351,3.0127,24.92,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.125,4.0429
sample64.mp4,96.0,99.0,3.0,9,1.0,1.0,0.0,0,0,0.0,2.5906,0.5338,-14.1421,5.8642,-3.9515,0.7236,2.5077,28.51,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.1111,4.5084
sample64.mp4,99.0,102.0,3.0,8,1.0,1.0,0.0,0,0,0.0,1.6281,0.9045,-17.588,2.7071,-3.7597,0.5766,1.4872,40.21,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,2.4866
sample64.mp4,102.0,105.0,3.0,9,1.0,1.0,0.0,0,0,0.0,2.3501,0.8925,-17.1243,3.1191,-3.4963,0.5206,1.8018,35.69,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,2.7416
sample64.mp4,105.0,108.0,3.0,8,1.0,1.0,0.0,0,0,0.0,2.2811,0.6435,-17.2159,2.1553,-4.0373,0.571,1.3451,42.64,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,2.2375
sample64.mp4,108.0,111.0,3.0,9,1.0,1.0,0.0,0,0,0.0,2.2229,0.8211,-18.8032,3.1934,-4.2776,0.3925,2.1624,31.62,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,3.5538
sample64.mp4,111.0,114.0,3.0,8,0.875,1.0,0.0,1,0,0.35,3.6544,1.4101,-16.8652,3.7228,-4.4916,0.6795,2.2863,30.43,0,0.0,0.7692,,1.0889,,0.7548,1.4167,0.1111,0.1111,1.0,0.3281,-177.6852,-16.3719,0.0,3.5176
sample64.mp4,114.0,117.0,3.0,9,1.0,1.0,0.0,0,0,0.0,2.9223,0.6876,-17.74,4.4189,-3.8742,0.5107,2.1246,32.0,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,4.0835
sample64.mp4,117.0,120.0,3.0,8,1.0,1.0,0.0,0,0,0.0,2.5214,0.742,-20.671,3.8928,-3.1461,0.4296,1.8265,35.38,0,0.0,,,,,0.7548,1.4167,0.1111,0.1111,0.0,,-177.6852,-16.3719,0.0,4.9219
sample64.mp4,120.0,123.0,3.0,9,0.8889,1.0,0.0,1,0,0.35,3.29,0.8193,-18.8928,2.076,-3.2657,0.492,1.3515,42.53,1,20.0,0.9241,,1.2125,,0.7548,1.4167,0.1111,0.1111,1.0,0.2652,-177.6852,-16.3719,0.0,3.0278
