filename,window_start,window_end,window_duration,window_frames,eye_contact_ratio,face_visibility_ratio,gaze_center_ratio,valid_gaze_frames,gaze_center_frames,looking_away_total_time,head_pitch_offset_mean,head_pitch_offset_std,head_yaw_mean,head_yaw_std,head_roll_mean,head_roll_std,head_movement_mean_delta,head_movement_stability_score,blink_count,blink_rate_per_minute,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,primary_gaze_horizontal_ratio,primary_gaze_vertical_ratio,primary_gaze_zone_ratio,secondary_gaze_zone_ratio,gaze_deviation_from_primary_ratio,gaze_deviation_from_primary_mean,primary_head_pitch,primary_head_yaw,head_deviation_from_primary_ratio,head_deviation_from_primary_mean
sample32.mp4,0.0,3.0,3.0,9,0.3333,1.0,0.6667,6,4,2.0,8.6811,3.3439,17.591,6.4324,19.1962,56.2985,19.6655,4.84,1,20.0,0.5918,0.0646,0.8989,0.0776,0.8611,0.9758,0.1953,0.0687,1.0,0.2909,-176.2546,16.3158,0.1111,7.7981
sample32.mp4,3.0,6.0,3.0,9,0.1111,1.0,0.625,8,5,2.67,5.0825,2.6373,10.1921,15.7274,0.2868,2.1909,5.6185,15.11,1,20.0,0.6244,0.0494,0.9391,0.0712,0.8611,0.9758,0.1953,0.0687,1.0,0.2514,-176.2546,16.3158,0.2222,11.1968
sample32.mp4,6.0,9.0,3.0,9,0.8889,1.0,0.0,0,0,0.33,5.3432,3.9864,19.1851,15.2195,19.3773,52.8979,24.7435,3.88,0,0.0,,,,,0.8611,0.9758,0.1953,0.0687,0.0,,-176.2546,16.3158,0.1111,40.8416
sample32.mp4,9.0,12.0,3.0,9,1.0,1.0,0.0,0,0,0.0,5.4277,1.7026,7.7692,7.1724,-19.6749,56.0218,10.8478,8.44,0,0.0,,,,,0.8611,0.9758,0.1953,0.0687,0.0,,-176.2546,16.3158,0.1111,9.2494
sample32.mp4,12.0,15.0,3.0,9,0.6667,1.0,0.6667,3,2,1.0,7.0094,3.5022,16.4013,3.7313,1.849,3.9255,2.312,30.19,0,0.0,0.66,0.0141,0.9658,0.047,0.8611,0.9758,0.1953,0.0687,1.0,0.2071,-176.2546,16.3158,0.0,5.1286
sample32.mp4,15.0,18.0,3.0,9,0.8889,1.0,0.0,0,0,0.33,5.7786,3.3138,25.9334,12.0803,22.2302,53.1939,47.5257,2.06,0,0.0,,,,,0.8611,0.9758,0.1953,0.0687,0.0,,-176.2546,16.3158,0.1111,43.7335
sample32.mp4,18.0,21.0,3.0,9,0.0,1.0,0.3333,9,3,3.0,1.0858,1.0884,-9.4692,16.663,1.1128,3.0495,49.0079,2.0,1,20.0,0.7599,0.1419,0.9516,0.1479,0.8611,0.9758,0.1953,0.0687,0.4444,0.1798,-176.2546,16.3158,0.7778,208.9584
sample32.mp4,21.0,24.0,3.0,9,0.6667,1.0,0.3333,3,1,1.0,3.6065,7.9957,28.0672,10.6832,16.2484,51.379,32.1225,3.02,1,20.0,0.7074,0.1049,0.8327,0.0429,0.8611,0.9758,0.1953,0.0687,0.6667,0.2223,-176.2546,16.3158,0.5556,198.4903
sample32.mp4,24.0,27.0,3.0,9,0.0,1.0,0.0,9,0,3.0,1.5025,1.5895,-2.013,7.0204,0.8109,0.8572,77.1539,1.28,1,20.0,0.9216,0.0282,1.0979,0.0723,0.8611,0.9758,0.1953,0.0687,0.3333,0.1375,-176.2546,16.3158,0.8889,204.0747
sample32.mp4,27.0,30.0,3.0,9,0.0,1.0,0.3333,9,3,3.0,4.4155,6.7294,5.5845,19.9018,17.7951,51.9172,64.2081,1.53,2,40.0,0.7775,0.1367,1.0596,0.071,0.8611,0.9758,0.1953,0.0687,0.5556,0.1779,-176.2546,16.3158,0.7778,201.7895
sample32.mp4,30.0,33.0,3.0,9,0.2222,1.0,0.1667,6,1,2.33,1.8227,1.9959,-15.0218,15.813,0.7766,3.4295,33.4445,2.9,0,0.0,0.8651,0.1288,0.9907,0.0741,0.8611,0.9758,0.1953,0.0687,0.3333,0.1231,-176.2546,16.3158,0.7778,138.5077
sample32.mp4,33.0,36.0,3.0,9,0.6667,1.0,0.0,3,0,1.0,3.6026,1.5896,12.7135,15.2371,-2.4305,2.0856,32.5595,2.98,0,0.0,0.8354,0.1029,1.0182,0.1291,0.8611,0.9758,0.1953,0.0687,0.3333,0.1656,-176.2546,16.3158,0.2222,47.2555
