filename,window_start,window_end,window_duration,window_frames,eye_contact_ratio,face_visibility_ratio,gaze_center_ratio,valid_gaze_frames,gaze_center_frames,looking_away_total_time,head_pitch_offset_mean,head_pitch_offset_std,head_yaw_mean,head_yaw_std,head_roll_mean,head_roll_std,head_movement_mean_delta,head_movement_stability_score,blink_count,blink_rate_per_minute,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,primary_gaze_horizontal_ratio,primary_gaze_vertical_ratio,primary_gaze_zone_ratio,secondary_gaze_zone_ratio,gaze_deviation_from_primary_ratio,gaze_deviation_from_primary_mean,primary_head_pitch,primary_head_yaw,head_deviation_from_primary_ratio,head_deviation_from_primary_mean
sample74.mp4,0.0,3.0,3.0,9,0.0,1.0,0.1429,7,1,3.0,2.6105,1.2241,29.8787,2.6646,-1.7531,0.6291,1.5949,38.54,2,40.0,0.7212,0.0455,1.1964,0.1168,0.7424,1.2129,0.2614,0.2054,0.0,0.1224,175.5967,30.4416,0.0,3.0507
sample74.mp4,3.0,6.0,3.0,9,0.0,1.0,0.0,9,0,2.96,4.4389,0.4486,29.8781,2.2696,-1.6228,0.6618,1.3136,43.22,3,60.0,0.7531,0.0442,1.2491,0.091,0.7424,1.2129,0.2614,0.2054,0.0,0.0913,175.5967,30.4416,0.0,1.9865
sample74.mp4,6.0,9.0,3.0,9,0.0,1.0,0.0,5,0,2.91,3.7823,0.5072,29.2315,1.2032,-0.2275,0.3427,0.6915,59.12,1,20.0,0.78,0.0085,1.205,0.09,0.7424,1.2129,0.2614,0.2054,0.0,0.094,175.5967,30.4416,0.0,1.6212
sample74.mp4,9.0,12.0,3.0,9,0.2222,1.0,0.0,7,0,2.19,4.1125,0.7935,29.4143,1.7749,-0.1267,0.4563,1.2668,44.12,2,40.0,0.7617,0.021,1.2,0.1165,0.7424,1.2129,0.2614,0.2054,0.1429,0.0959,175.5967,30.4416,0.0,1.8984
sample74.mp4,12.0,15.0,3.0,9,0.7778,1.0,0.0,9,0,0.68,4.8847,2.1201,26.7023,11.7748,-1.5917,4.0256,20.2431,4.71,3,60.0,0.7592,0.0354,1.2444,0.1012,0.7424,1.2129,0.2614,0.2054,0.0,0.1039,175.5967,30.4416,0.1111,22.305
sample74.mp4,15.0,18.0,3.0,9,0.6667,1.0,0.0,6,0,1.01,4.4193,0.7147,28.7789,2.4587,-0.8604,0.6625,1.2874,43.72,2,40.0,0.7548,0.0467,1.2458,0.0585,0.7424,1.2129,0.2614,0.2054,0.0,0.0707,175.5967,30.4416,0.0,2.7033
sample74.mp4,18.0,21.0,3.0,9,0.6667,1.0,0.0,8,0,1.01,4.1731,0.577,30.5292,1.2763,-0.2912,0.3299,0.8188,54.98,2,40.0,0.7796,0.034,1.226,0.1162,0.7424,1.2129,0.2614,0.2054,0.125,0.1036,175.5967,30.4416,0.0,1.3213
sample74.mp4,21.0,24.0,3.0,8,0.875,1.0,0.0,7,0,0.34,4.9352,0.9688,29.8022,3.4797,-0.5025,0.6739,2.1349,31.9,2,40.0,0.7643,0.0326,1.2286,0.0508,0.7424,1.2129,0.2614,0.2054,0.0,0.0538,175.5967,30.4416,0.0,3.2125
sample74.mp4,24.0,27.0,3.0,9,0.7778,1.0,0.0,7,0,0.68,4.4984,1.0311,30.9264,1.8421,-1.5714,0.5938,1.3357,42.81,2,40.0,0.781,0.0403,1.1929,0.0394,0.7424,1.2129,0.2614,0.2054,0.0,0.0551,175.5967,30.4416,0.0,1.9773
sample74.mp4,27.0,30.0,3.0,9,1.0,1.0,0.0,9,0,0.0,5.074,0.7534,28.9814,1.5968,-1.0301,0.4141,1.0237,49.41,0,0.0,0.7666,0.046,1.2194,0.0815,0.7424,1.2129,0.2614,0.2054,0.0,0.0804,175.5967,30.4416,0.0,2.0068
sample74.mp4,30.0,33.0,3.0,9,0.3333,1.0,0.0,9,0,2.03,4.4563,0.8682,29.5808,1.6648,-0.9723,0.4355,1.1886,45.69,2,40.0,0.7722,0.0226,1.4167,0.1654,0.7424,1.2129,0.2614,0.2054,0.4444,0.2137,175.5967,30.4416,0.0,1.7997
